symbol,security,sec_filings,gics_sector,sub_industry,headquarters,date_added,cik,founded,
WST,West Pharmaceutical Services,reports,Health Care,Health Care Supplies,"Exton, Pennsylvania",22/05/2020,105770,1923,
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1/07/2009,106040,1970,
WRK,WestRock,reports,Materials,Paper Packaging,"Atlanta, Georgia",,1732845,2015,
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Seattle, Washington",,106535,1900,
WHR,Whirlpool Corporation,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911,
WMB,Williams Companies,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",31/03/1975,107263,1908,
WTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, United Kingdom",5/01/2016,1140536,2016,
GWW,W. W. Grainger,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",30/06/1981,277135,1927,
WYNN,Wynn Resorts,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",14/11/2008,1174922,2002,
XEL,Xcel Energy,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",4/03/1957,72903,1909,
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,"White Plains, New York",1/11/2011,1524472,2011,
YUM,Yum! Brands,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",6/10/1997,1041061,1997,
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",23/12/2019,877212,1969,
ZBH,Zimmer Biomet,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",7/08/2001,1136869,1927,
ZION,Zions Bancorporation,reports,Financials,Regional Banks,"Salt Lake City, Utah",22/06/2001,109380,1873,
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Parsippany, New Jersey",21/06/2013,1555280,1952,
